"seq" "sex" "dob_yy" "dob_mm" "dob_dd" "reg" "state" "helpertype" "helperpresent" "time"
"280" 310 1 19 9 7 4 28 0 0 1982
"281" 311 2 15 9 7 1 25 15 1 1982
"282" 312 1 22 7 24 8 7 11 1 1982
"283" 316 2 28 3 31 5 7 0 0 1982
"284" 317 1 30 12 3 5 7 0 0 1982
"285" 319 2 32 8 13 11 22 0 0 1982
"286" 320 1 33 1 26 5 7 0 0 1982
"287" 322 1 30 1 7 5 6 0 0 1982
"288" 324 2 27 11 11 9 2 11 1 1982
"289" 325 1 31 8 1 5 6 0 0 1982
"290" 326 1 33 9 29 5 6 0 0 1982
"291" 328 1 20 11 16 5 6 0 0 1982
"292" 329 2 32 11 10 5 6 0 0 1982
"293" 330 2 20 10 10 5 6 0 0 1982
"294" 331 2 28 10 18 5 6 0 0 1982
"295" 333 1 30 2 6 12 39 0 0 1982
"296" 334 1 31 7 3 9 2 11 1 1982
"297" 335 2 24 6 3 5 6 0 0 1982
"298" 336 1 25 4 5 5 6 0 0 1982
"299" 337 1 22 10 19 5 6 11 1 1982
"300" 338 2 31 1 19 5 6 0 0 1982
"301" 339 2 26 7 2 4 28 0 0 1982
"302" 340 2 24 8 7 5 6 15 1 1982
"303" 341 1 33 6 30 5 6 0 0 1982
"304" 342 1 32 6 15 5 6 0 0 1982
"305" 349 1 24 5 9 4 15 0 0 1982
"306" 351 2 29 10 4 6 42 0 0 1982
"307" 353 2 29 11 8 8 10 0 0 1982
"308" 357 2 25 6 23 9 2 0 0 1982
"309" 358 2 28 4 17 9 35 0 0 1982
"310" 360 2 27 5 4 9 35 0 0 1982
"311" 361 2 20 11 9 9 35 0 0 1982
"312" 362 1 22 10 19 9 35 0 0 1982
"313" 363 2 23 4 21 9 35 0 0 1982
"314" 364 1 31 1 20 9 35 0 0 1982
"315" 366 1 25 9 8 9 35 0 0 1982
"316" 367 1 15 8 24 4 15 24 1 1982
"317" 368 1 24 6 8 10 36 0 0 1982
